# === PPO_STATS_BEGIN ===
total_completed=2556
best_reward=229.534518
best_reward_ts=2026-01-02 22:26:08
best_reward_run=2026-01-02 22:06:26
best_reward_ep=(29/10000)
best_survival=300.503
best_survival_ts=2026-01-08 16:20:00
best_survival_run=2026-01-08 15:10:41
best_survival_ep=(114/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-30 20:49:12  episodes=10000 eval=False
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(78/10000)	27.000000	20.961	
(79/10000)	25.026068	21.529	
(80/10000)	39.946820	29.818	
(81/10000)	41.497467	30.477	
(82/10000)	48.700000	31.453	
(83/10000)	20.983271	18.570	
(84/10000)	23.702034	20.558	
(85/10000)	22.488198	22.115	
(86/10000)	35.963187	26.225	
(87/10000)	27.173180	22.062	
(88/10000)	32.006527	24.938	
(89/10000)	34.100000	24.904	
(90/10000)	34.177717	26.991	
(91/10000)	28.300000	20.836	
(92/10000)	43.347627	33.226	
(93/10000)	41.566875	31.323	
(94/10000)	28.687056	22.685	
(95/10000)	40.284356	27.998	
(96/10000)	27.225191	22.410	
(97/10000)	21.974906	19.045	
(98/10000)	33.453598	24.805	
(99/10000)	41.500000	27.956	
(100/10000)	57.600000	36.197	
(101/10000)	30.519457	23.995	
(102/10000)	43.472387	31.389	
(103/10000)	33.625428	27.054	
(104/10000)	25.844412	22.100	
(105/10000)	44.521893	29.715	
(106/10000)	36.032526	25.820	
(107/10000)	35.394614	24.833	
(108/10000)	19.543215	18.766	
(109/10000)	27.090132	22.847	
(110/10000)	43.120362	30.294	
(111/10000)	38.300000	25.554	
(112/10000)	31.029478	24.346	
(113/10000)	53.282895	34.057	
(114/10000)	47.123702	31.028	
(115/10000)	34.600000	24.346	
(116/10000)	44.290522	31.809	
(117/10000)	46.200000	30.427	
(118/10000)	34.069241	24.576	
(119/10000)	21.139221	18.469	
(120/10000)	39.890118	27.962	
(121/10000)	46.500000	29.744	
(122/10000)	38.059207	27.895	
(123/10000)	29.054113	24.043	
(124/10000)	33.841949	25.874	
(125/10000)	33.092777	25.069	
(126/10000)	25.318942	21.546	
(127/10000)	49.600000	31.286	
(128/10000)	43.715518	31.761	
(129/10000)	31.736827	23.276	
(130/10000)	19.541113	17.373	
(131/10000)	18.177829	18.195	
(132/10000)	46.100000	29.730	
(133/10000)	44.521434	31.635	
(134/10000)	44.085943	30.955	
(135/10000)	19.011288	18.362	
(136/10000)	35.199789	25.144	
(137/10000)	29.908728	24.453	
(138/10000)	34.343619	25.724	
(139/10000)	45.599402	29.855	
(140/10000)	47.186486	30.757	
(141/10000)	31.648633	23.494	
(142/10000)	22.380716	20.269	
(143/10000)	37.650242	27.366	
(144/10000)	22.600000	19.184	
(145/10000)	31.964254	24.093	
(146/10000)	34.394349	25.927	
(147/10000)	33.125971	24.981	
(148/10000)	25.653156	21.862	
(149/10000)	27.950637	23.146	
(150/10000)	30.953500	24.372	
(151/10000)	20.954683	18.165	
(152/10000)	27.475825	22.347	
(153/10000)	21.488448	22.728	
(154/10000)	21.953097	19.788	
(155/10000)	22.923438	21.920	
(156/10000)	15.979739	17.670	
(157/10000)	26.114976	21.378	
(158/10000)	30.145665	24.503	
(159/10000)	42.345559	31.212	
(160/10000)	58.563748	39.218	
(161/10000)	23.967460	20.994	
(162/10000)	44.607408	33.746	
(163/10000)	34.757656	26.554	
(164/10000)	26.750948	23.361	
(165/10000)	19.599530	17.321	
(166/10000)	34.213250	26.442	
(167/10000)	36.772457	26.205	
(168/10000)	31.719674	25.587	
(169/10000)	45.740607	31.520	
(170/10000)	26.899368	19.880	
(171/10000)	36.059482	25.781	
(172/10000)	23.164698	19.774	
(173/10000)	23.766527	19.998	
(174/10000)	19.600042	18.869	
(175/10000)	27.628963	22.443	
(176/10000)	49.328713	35.405	
(177/10000)	72.618707	45.672	
(178/10000)	68.637864	42.276	
(179/10000)	21.091413	19.359	
(180/10000)	47.199625	31.947	
(181/10000)	23.048448	20.842	
(182/10000)	64.885268	41.828	
(183/10000)	22.313973	21.035	
(184/10000)	31.574113	25.372	
(185/10000)	27.166180	22.381	
(186/10000)	32.487864	25.427	
(187/10000)	44.813309	30.969	
(188/10000)	26.847100	21.514	
