# === PPO_STATS_BEGIN ===
total_completed=704
best_reward=127.243046
best_reward_ts=2025-12-23 17:12:27
best_reward_run=2025-12-23 16:07:56
best_reward_ep=(116/10000)
best_survival=45.298
best_survival_ts=2025-12-24 14:02:57
best_survival_run=2025-12-24 12:51:09
best_survival_ep=(133/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-23 15:21:32  episodes=1
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(54/10000)	48.484720	19.226	
(55/10000)	46.200000	19.110	
(56/10000)	58.500000	22.623	
(57/10000)	77.777409	30.819	
(58/10000)	54.189916	22.164	
(59/10000)	61.010679	25.264	
(60/10000)	57.600000	22.134	
(61/10000)	47.545640	20.093	
(62/10000)	56.999677	23.292	
(63/10000)	59.897611	23.076	
(64/10000)	63.399036	24.337	
(65/10000)	48.457107	19.179	
(66/10000)	76.354782	29.983	
(67/10000)	51.380515	20.385	
(68/10000)	61.641478	25.310	
(69/10000)	56.410433	22.940	
(70/10000)	66.487796	26.910	
(71/10000)	69.163125	27.221	
(72/10000)	56.728881	22.714	
(73/10000)	63.768588	25.437	
(74/10000)	59.676135	23.620	
(75/10000)	49.155027	19.484	
(76/10000)	46.959563	20.444	
(77/10000)	60.071951	23.184	
(78/10000)	48.265703	19.096	
(79/10000)	56.002306	23.078	
(80/10000)	44.288964	18.507	
(81/10000)	62.098311	23.885	
(82/10000)	51.096520	20.305	
(83/10000)	62.489794	26.025	
(84/10000)	102.076509	39.259	
(85/10000)	50.922151	19.997	
(86/10000)	59.626528	24.759	
(87/10000)	61.105562	24.254	
(88/10000)	59.300000	22.869	
(89/10000)	79.157424	30.005	
(90/10000)	62.611495	25.630	
(91/10000)	51.814320	20.258	
(92/10000)	59.026564	24.195	
(93/10000)	73.557161	30.203	
(94/10000)	69.583452	27.445	
(95/10000)	50.391949	20.850	
(96/10000)	52.096213	21.491	
(97/10000)	63.470401	24.228	
(98/10000)	54.737607	22.005	
(99/10000)	55.513264	23.408	
(100/10000)	50.093487	19.770	
(101/10000)	53.478839	22.467	
(102/10000)	51.777588	21.259	
